"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.62898854463638","7.66419816116368","7.81564467716081","7.01587603106662","7.10795520347694","6.76979835081645","6.8930892630345","6.47959050025093","6.29483467846309","6.67756426843082","5.13200346307769","5.22722352871108","5.11842501280509","5.8468093846631","5.76125521724959","7.00171601117691","7.52483529625335","7.60970036213044","4.61359578679675","4.31977249407447","4.27589218352904","",
"Afghanistan","AFG","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.134336001725","12.6897579454611","10.3603817107467","11.9484046164291","11.1654087876017","9.86038937465642","9.35459613289025","8.30276004557373","4.696372864714","4.31176435442433","5.10979266008033","3.83314218682084","3.6802510519657","3.65259208973618","3.72485527466578","4.27573619654266","4.48966307075897","",
"Africa Western and Central","AFW","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.92921314234015","5.91262100861819","6.58191249660078","6.6858751216016","5.42528212776594","4.62934633596265","4.6765345011602","3.67132587744504","4.78215498685629","4.86885023902099","4.55157819233442","4.26959671517191","4.48177777587339","4.58581388153852","4.41604154737467","4.88657582624747","5.84489320801359","5.92380430047654","5.97070204578962","5.83530460689701","5.47594809193431","",
"Angola","AGO","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0329203539823","13.8754641909814","6.23386766076421","27.3755173365217","12.8833216075983","10.7886306722638","9.19173249002421","10.934564719985","11.647001444409","13.9189386804869","12.2908861158394","8.16725533071883","6.78449029078347","10.4641587891309","10.6044905350185","8.70454255544237","8.69862287926","12.0250725449374","12.8877429712969","11.4798495273084","12.3999600882007","10.5352532679654","9.50392169689592","8.55101736847662","7.79379999625194","",
"Albania","ALB","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73437520175261","5.42898862467715","6.22608105672699","6.25619786501779","4.64272721436367","5.30374152460951","5.28386450211732","5.26790009594914","4.82648553602103","4.24378498276555","3.82627416237853","3.78723434007733","3.80518109954003","4.02942680104453","4.39406689444709","4.66810723731853","",
"Andorra","AND","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.8437414389322","24.3906589515153","24.5403002827146","24.102730263468","22.8468294066936","21.3837438511635","22.635476594439","27.1307076241804","25.1495873971106","","22.5382617330191","19.6560849890276","19.2851893766642","18.2271464896405","18.3789288846589","18.2823279251189","17.4854493255176","15.8942750821086","15.7543223917961","15.6128369721077","14.8562588838909","15.1021519566747","16.8817787236623","17.5887575605651","21.9567051857487","18.3036768431297","21.2703173241613","18.6121228638847","16.3739245009234","17.023133493311","",
"United Arab Emirates","ARE","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1598216381131","20.6072477962782","20.6520006376534","26.1858822672831","22.2450898453824","22.8546521764398","23.4029772501393","26.042587718842","23.2249044823855","20.6432633849774","18.5816629191982","16.7108388253614","15.5930955120829","18.7415637308207","17.5485140622275","17.4275928988533","19.9148885242204","17.0387678455648","","","","","","","",
"Argentina","ARG","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.76284549024364","4.89338277900104","4.51496876436704","4.39388451986755","4.28520119391155","4.06980367715799","4.00710246949338","4.46885679494062","4.30795156255064","3.83548156104547","3.46831777802766","2.96142744686434","2.68200390095939","2.47951410684899","2.56776861997814","2.44282162946179","2.18981461392914","2.13143597816161","2.22784898599116","2.26006388591143","2.05512180882873","1.94895474840026","2.06158761632168","1.88014181470374","1.83507314813373","1.71140909360919","",
"Armenia","ARM","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4528085980008","14.7377317647059","13.5710046894098","15.2706602976948","14.5588154965548","16.2807704907726","15.4377929045529","15.988405530378","16.7974828681356","16.4371015053236","16.0998743250336","15.1226623240176","14.7914763511624","17.1306690770329","19.2259657783639","16.7195276653098","",
